"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"ASV125" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Setophoma" "s__terrestris"
"ASV126" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Sordariales_fam_Incertae_sedis" "g__Staphylotrichum" NA
"ASV127" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__alpina"
"ASV129" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Hyaloscyphaceae" "g__Lachnum" NA
"ASV130" "k__Fungi" "p__Olpidiomycota" "c__Olpidiomycetes" "o__Olpidiales" "f__Olpidiaceae" "g__Olpidium" "s__brassicae"
"ASV131" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Auriculariales" "f__Auriculariaceae" "g__Auricularia" NA
"ASV132" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Branch06" NA NA NA
"ASV133" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Marasmiaceae" "g__Marasmius" "s__apatelius"
"ASV134" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Chaetothyriaceae" NA NA
"ASV139" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Auriculariales" NA NA NA
"ASV140" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Melanommataceae" NA NA
"ASV141" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Thelebolales" "f__Pseudeurotiaceae" "g__Pseudogymnoascus" "s__pannorum"
"ASV142" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Branch06" NA NA NA
"ASV144" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Branch06" NA NA NA
