OTU_ID	taxonomy
ASV_753	;Tausonia;pullulans
ASV_754	;Claroideoglomus;NA
ASV_756	;Schizothecium;NA
ASV_757	;Talaromyces;sayulitensis
ASV_758	;Gibberella;NA
ASV_759	;Preussia;flanaganii
ASV_760	;NA;NA
ASV_761	;Glomus;macrocarpum
ASV_763	;Conioscypha;bambusicola
ASV_765	;Glomus;macrocarpum
ASV_766	;Endogone;NA
ASV_767	;NA;NA
ASV_768	;Lachnum;NA
ASV_769	;Thanatephorus;cucumeris
ASV_771	;Trichoderma;virens
ASV_772	;Cyphellophora;vermispora
ASV_773	;Dominikia;NA
ASV_774	;Endophragmiella;constricta
ASV_775	;NA;NA
ASV_776	;NA;NA
ASV_777	;Septoglomus;NA
ASV_778	;Spirosphaera;cupreorufescens
ASV_779	;Mortierella;elongata
ASV_780	;Phaeosphaeria;NA
ASV_781	;NA;NA
ASV_782	;NA;NA
ASV_783	;Trichometasphaeria;NA
ASV_785	;NA;NA
ASV_786	;NA;NA
ASV_787	;Cladorrhinum;NA
ASV_788	;Glomus;NA
ASV_789	;Lecanicillium;primulinum
ASV_790	;NA;NA
ASV_791	;Clitopilus;NA
ASV_793	;Ramophialophora;humicola
ASV_795	;Glomus;indicum
ASV_796	;Paraophiobolus;arundinis
ASV_797	;Rhizophagus;irregularis
ASV_798	;NA;NA
ASV_799	;NA;NA
ASV_801	;Rhizophagus;irregularis
ASV_802	;NA;NA
ASV_803	;Mycocalicium;victoriae
ASV_805	;Mucor;NA
ASV_806	;Periconia;pseudodigitata
ASV_807	;Dichotomopilus;pratensis
ASV_809	;Psathyrella;candolleana
ASV_810	;NA;NA
ASV_811	;NA;NA
ASV_812	;Mortierella;NA
ASV_813	;Phyllozyma;NA
ASV_814	;Rhizophlyctis;rosea
ASV_815	;Orbilia;serpentina
ASV_818	;NA;NA
ASV_819	;Cyphellophora;fusarioides
ASV_820	;Pseudorobillarda;phragmitis
ASV_821	;Sporidesmiella;NA
ASV_822	;Exophiala;salmonis
ASV_823	;NA;NA
ASV_824	;NA;NA
ASV_825	;Septoglomus;NA
ASV_826	;NA;NA
ASV_827	;Ramicandelaber;NA
ASV_828	;Pyrenochaetopsis;leptospora
ASV_829	;Alternaria;metachromatica
ASV_830	;Thanatephorus;cucumeris
ASV_831	;Mucor;NA
ASV_834	;NA;NA
ASV_835	;NA;NA
ASV_836	;Penicillium;NA
ASV_837	;Funneliformis;mosseae
ASV_838	;Fusarium;solani
ASV_839	;Karstenia;macer
ASV_840	;NA;NA
ASV_841	;NA;NA
ASV_844	;NA;NA
ASV_845	;NA;NA
ASV_846	;Pyrenochaetopsis;leptospora
ASV_847	;NA;NA
ASV_848	;Parastagonospora;NA
ASV_850	;Disciseda;NA
ASV_851	;Claroideoglomus;claroideum
ASV_852	;NA;NA
ASV_854	;NA;NA
ASV_855	;NA;NA
ASV_857	;Valsonectria;pulchella
ASV_858	;Glomus;NA
ASV_859	;Neofitzroyomyces;nerii
ASV_861	;NA;NA
ASV_862	;NA;NA
ASV_863	;Coprinopsis;friesii
ASV_864	;Trichoderma;NA
ASV_865	;Preussia;NA
ASV_866	;Metarhizium;marquandii
ASV_867	;Chaetosphaeronema;NA
ASV_868	;NA;NA
ASV_869	;NA;NA
ASV_870	;Funneliformis;mosseae
ASV_872	;Xenasmatella;christiansenii
ASV_873	;NA;NA
ASV_874	;NA;NA
ASV_875	;NA;NA
ASV_876	;Devriesia;NA
ASV_878	;Coniochaeta;verticillata
ASV_882	;Tetracladium;NA
ASV_883	;NA;NA
ASV_884	;Funneliformis;mosseae
ASV_885	;Preussia;terricola
ASV_886	;Cladorrhinum;NA
ASV_887	;Physalacria;maipoensis
