"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_15549","Bacteria","Chloroflexi","P2-11E",NA,NA,NA
"ASV_15550","Bacteria","Chloroflexi","Anaerolineae","SBR1031",NA,NA
"ASV_15551","Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales",NA,NA
"ASV_15555","Bacteria","Actinobacteria","Acidimicrobiia","IMCC26256",NA,NA
"ASV_15561","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae",NA
"ASV_15562","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA
"ASV_15565","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA
"ASV_15566","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA
"ASV_15567","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","mle1-27",NA
"ASV_15574","Bacteria","Planctomycetes","OM190",NA,NA,NA
"ASV_15575","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium"
"ASV_15576","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA
"ASV_15577","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales",NA,NA
"ASV_15584","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA
"ASV_15585","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola"
"ASV_15586","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Buchnera"
"ASV_15587","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA
"ASV_15588","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae",NA
"ASV_15589","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae",NA
"ASV_15599","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"ASV_15600","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","UTBCD1"
"ASV_15601","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA
"ASV_15608","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Pajaroellobacter"
"ASV_15617","Bacteria","Acidobacteria","Holophagae","Subgroup_7",NA,NA
"ASV_15618","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"ASV_15619","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA
"ASV_15620","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02"
"ASV_15634","Bacteria","Chloroflexi","Anaerolineae","SBR1031",NA,NA
"ASV_15638","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus"
"ASV_15639","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Pajaroellobacter"
"ASV_15640","Bacteria","Planctomycetes","OM190",NA,NA,NA
"ASV_15663","Bacteria","Acidobacteria","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10"
"ASV_15664","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter"
"ASV_15665","Bacteria","Acidobacteria","Subgroup_25",NA,NA,NA
"ASV_15667","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"ASV_15668","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA
"ASV_15669","Bacteria",NA,NA,NA,NA,NA
"ASV_15670","Bacteria","Acidobacteria","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10"
"ASV_15671","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","Terracidiphilus"
"ASV_15672","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter"
"ASV_15673","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA
"ASV_15674","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Parachlamydiaceae","Candidatus_Protochlamydia"
"ASV_15675","Bacteria","FBP",NA,NA,NA,NA
"ASV_15676","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Sandaracinus"
"ASV_15677","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"ASV_15678","Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9",NA,NA
"ASV_15679","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)","Paludibaculum"
"ASV_15680","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"ASV_15681","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Cystobacter"
"ASV_15682","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA
"ASV_15683","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ASV_15684","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"ASV_15696","Bacteria",NA,NA,NA,NA,NA
"ASV_15705","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","AKYH767",NA
"ASV_15712","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101_soil_group",NA
"ASV_15713","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14",NA
"ASV_15734","Bacteria","Tenericutes","Mollicutes","EMP-G18",NA,NA
"ASV_15756","Bacteria",NA,NA,NA,NA,NA
"ASV_15762","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter"
"ASV_15763","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales",NA,NA
"ASV_15764","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"ASV_15766","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
"ASV_15767","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ASV_15768","Bacteria","Armatimonadetes","Chthonomonadetes","Chthonomonadales",NA,NA
"ASV_15769","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia"
"ASV_15770","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax"
"ASV_15771","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus_Nitrososphaera"
"ASV_15772","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Chryseolinea"
"ASV_15773","Bacteria",NA,NA,NA,NA,NA
"ASV_15774","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfarculales","Desulfarculaceae",NA
"ASV_15775","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"ASV_15777","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ASV_15778","Bacteria","Latescibacteria",NA,NA,NA,NA
"ASV_15779","Bacteria",NA,NA,NA,NA,NA
"ASV_15780","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter"
"ASV_15781","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira"
"ASV_15782","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"ASV_15783","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ASV_15784","Bacteria","Actinobacteria","Acidimicrobiia","IMCC26256",NA,NA
"ASV_15785","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","Terracidiphilus"
"ASV_15786","Bacteria","Acidobacteria","Holophagae","Subgroup_7",NA,NA
"ASV_15787","Bacteria","Latescibacteria",NA,NA,NA,NA
"ASV_15788","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae",NA
"ASV_15789","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"ASV_15790","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Blastocatellales","Blastocatellaceae",NA
"ASV_15791","Bacteria",NA,NA,NA,NA,NA
"ASV_15792","Bacteria",NA,NA,NA,NA,NA
"ASV_15793","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae",NA
"ASV_15794","Bacteria","Chloroflexi","Dehalococcoidia","S085",NA,NA
"ASV_15799","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"ASV_15800","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Nonomuraea"
"ASV_15801","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio"
