"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_317","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma",NA
"ASV_318","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Mrakia","frigida"
"ASV_319","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris","zeicola"
"ASV_320","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Septoglomus","viscosum"
"ASV_321","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","verticillata"
"ASV_322","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","indicum"
"ASV_324","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae",NA,NA
"ASV_325","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria",NA
"ASV_326","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellales_fam_Incertae_sedis","Minimedusa","polyspora"
"ASV_328","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Crocicreas",NA
"ASV_330","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Tetracladium","apiense"
"ASV_331","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"ASV_332","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",NA
"ASV_333","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Irpicaceae","Efibula","americana"
"ASV_334","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae",NA,NA
"ASV_335","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Massariosphaeria","roumeguerei"
"ASV_336","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","macrospinosa"
"ASV_337","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Rhizophydiales_fam_Incertae_sedis","Operculomyces","laminatus"
"ASV_338","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleomassariaceae",NA,NA
"ASV_339","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",NA
"ASV_341","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Leptosphaeria","sclerotioides"
"ASV_342","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Septoglomus","viscosum"
"ASV_343","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Schizothecium",NA
"ASV_344","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces",NA
"ASV_345","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Trichopezizella",NA
"ASV_346","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Macrophomina","phaseolina"
"ASV_347","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA
"ASV_348","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Bisporella",NA
"ASV_349","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Podospora","intestinacea"
"ASV_350","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Schizothecium",NA
"ASV_351","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","Devriesia","pseudoamericana"
"ASV_352","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Pseudogymnoascus",NA
"ASV_353","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae",NA,NA
"ASV_354","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA
"ASV_356","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","armeniacum"
"ASV_358","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris",NA
"ASV_359","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","ambigua"
"ASV_360","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariaceae","Auricularia",NA
"ASV_361","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"ASV_362","Fungi","Basidiomycota","Agaricomycetes","Auriculariales",NA,NA,NA
"ASV_363","Fungi","Ascomycota","Laboulbeniomycetes","Pyxidiophorales",NA,NA,NA
"ASV_364","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Dinemasporium",NA
"ASV_365","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Myrothecium",NA
