"Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"ASV198" "Bacteria" "Planctomycetes" "Planctomycetacia" "Planctomycetales" NA NA
"ASV199" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Kitasatospora"
"ASV200" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" NA
"ASV201" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas"
"ASV202" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Pseudarthrobacter"
"ASV204" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Burkholderia-Caballeronia-Paraburkholderia"
"ASV207" "Bacteria" "Bacteroidetes" "Bacteroidia" "Sphingobacteriales" "Sphingobacteriaceae" "Pedobacter"
"ASV208" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Massilia"
"ASV209" "Bacteria" "Acidobacteria" "Blastocatellia_(Subgroup_4)" "Pyrinomonadales" "Pyrinomonadaceae" "RB41"
"ASV211" "Bacteria" "Acidobacteria" "Subgroup_6" "Unknown_Order" "Unknown_Family" "Vicinamibacter"
"ASV214" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" NA
"ASV215" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV216" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" NA NA
"ASV217" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "67-14" NA
"ASV218" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"ASV219" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Allostreptomyces"
"ASV220" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV221" "Bacteria" "Gemmatimonadetes" "Gemmatimonadetes" "Gemmatimonadales" "Gemmatimonadaceae" "Gemmatirosa"
"ASV222" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Kribbella"
"ASV223" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV224" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"ASV225" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" "Gaiellaceae" "Gaiella"
"ASV226" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Burkholderia-Caballeronia-Paraburkholderia"
"ASV227" "Bacteria" "Actinobacteria" "Actinobacteria" "Streptomycetales" "Streptomycetaceae" "Streptomyces"
"ASV228" "Bacteria" "Patescibacteria" "Saccharimonadia" "Saccharimonadales" NA NA
"ASV229" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV230" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Phenylobacterium"
"ASV231" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Massilia"
"ASV232" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" NA NA
"ASV234" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "Solirubrobacteraceae" "Solirubrobacter"
"ASV235" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" NA NA
"ASV236" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Variovorax"
"ASV237" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV238" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Variovorax"
"ASV241" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" "Gaiellaceae" "Gaiella"
"ASV242" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV243" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Marmoricola"
"ASV244" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"ASV245" "Bacteria" "Chloroflexi" "KD4-96" NA NA NA
"ASV247" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Pseudoduganella"
"ASV248" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" NA
"ASV250" "Bacteria" "Chloroflexi" "Gitt-GS-136" NA NA NA
"ASV251" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV253" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Microbacteriaceae" "Microbacterium"
"ASV255" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Massilia"
"ASV256" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Methylophilaceae" "Methylotenera"
"ASV257" "Bacteria" "Actinobacteria" "Actinobacteria" NA NA NA
"ASV259" "Bacteria" "Bacteroidetes" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" NA
"ASV260" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Massilia"
"ASV262" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"ASV263" "Bacteria" "Acidobacteria" "Blastocatellia_(Subgroup_4)" "Blastocatellales" "Blastocatellaceae" NA
"ASV265" "Archaea" "Thaumarchaeota" "Nitrososphaeria" "Nitrososphaerales" "Nitrososphaeraceae" NA
"ASV266" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" "Gaiellaceae" "Gaiella"
"ASV267" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Phenylobacterium"
"ASV268" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" "Gaiellaceae" "Gaiella"
"ASV271" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV272" "Bacteria" "Actinobacteria" "MB-A2-108" NA NA NA
"ASV273" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "67-14" NA
"ASV274" "Bacteria" "Actinobacteria" "Thermoleophilia" "Gaiellales" NA NA
"ASV276" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Massilia"
"ASV277" "Bacteria" "Chloroflexi" "Chloroflexia" "Thermomicrobiales" "JG30-KF-CM45" NA
"ASV278" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Nocardioides"
"ASV279" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Pseudarthrobacter"
"ASV281" "Bacteria" "Actinobacteria" "Acidimicrobiia" "Microtrichales" "Ilumatobacteraceae" "Ilumatobacter"
"ASV282" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV284" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Burkholderia-Caballeronia-Paraburkholderia"
"ASV285" "Bacteria" "Acidobacteria" "Subgroup_6" NA NA NA
"ASV287" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Chthoniobacterales" "Chthoniobacteraceae" "Candidatus_Udaeobacter"
"ASV288" "Bacteria" "Planctomycetes" "Phycisphaerae" "Tepidisphaerales" "WD2101_soil_group" NA
"ASV289" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas"
"ASV291" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "67-14" NA
"ASV292" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Massilia"
"ASV293" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" NA
